|||||Cb1 Values|||||
|||||Qb1/Qc|||||
Ab1/Ac|Ab2/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.1|-3v|-0.5v|-0.11v|0.06v|0.12v|0.14v|0.14v|0.13v|0.11v
0.2|0.1|-16v|-3v|-1.01v|0.01v|0.32v|0.44v|0.49v|0.56v|0.49v
|0.2|-11.95v|-1.89v|-0.09v|0.41v|0.62v|0.74v|0.80v|0.8v|0.79v
|0.1|-54v|-11.25v|-3.57v|-0.43v|-0.22v|0.38v|0.55v|1.41v|1.22v
0.3|0.2|-45.45v|-9.39v|-2.44v|-0.41v|0.33v|0.68v|0.89v|1.03v|1.13v
|0.3|-16.88v|-2.92v|-0.09v|-0.59v|0.85v|1.02v|1.12v|1.12v|1.22v
|0.1|-97.28v|-18.48v|-6.35v|-1.58v|-0.57v|-0.15v|0.23v|0.35v|0.5v
0.4|0.2|-72.04v|-14v|-4.26v|-1.24v|-0.32v|0.09v|0.40v|0.5v|0.62v
|0.3|-52.95v|-9.91v|-2.86v|-0.91v|-0.06v|0.32v|0.56v|0.64v|0.73v
|0.4|-40v|-6.22v|-2.15v|-0.57v|0.19v|0.56v|0.72v|0.79v|0.85v
|0.1|-167.71v|-32.2v|-10.05v|-2.52v|-1.25v|-0.26v|0.17v|0.34v|0.36v
|0.2|-126.04v|-23.8v|-7.44v|-2.64v|-0.85v|-0.13v|0.16v|0.26v|0.28v
0.5|0.3|-91.07v|-16.91v|-5.16v|-1.73v|-0.46v|0.04v|0.23v|0.29v|0.28v
|0.4|-56.41v|-10.07v|-2.9v|-0.82v|-0.07v|0.21v|0.30v|0.31v|0.29v
|0.5|-30.58v|-5.23v|-1.06v|0.00v|0.32v|0.43v|0.47v|0.47v|0.41v
|0.1|-299.02v|-55.99v|-16.77v|-5.89v|-2.09v|-0.54v|0.11v|0.25v|0.23v
|0.2|-209.81v|-39.31v|-12.13v|-4.35v|-1.54v|-0.40v|0.06v|0.25v|0.23v
0.6|0.3|-147.43v|-27.69v|-8.75v|-3.2v|-1.13v|-0.29v|0.07v|0.23v|0.22v
|0.4|-85.06v|-16.07v|-5.38v|-2.04v|-0.71v|-0.17v|0.08v|0.23v|0.22v
|0.5|-58.22v|-11.03v|-3.84v|-1.49v|-0.5v|-0.09v|0.11v|0.23v|0.22v
|0.6|-40.57v|-7.86v|-2.6v|-0.99v|-0.32v|0.00v|0.14v|0.23v|0.22v
|0.1|-420.02v|-77.23v|-23.37v|-8.01v|-3.3v|-1.46v|-0.71v|-0.1v|0.03v
|0.2|-285.7v|-53.45v|-16.65v|-6.05v|-2.52v|-1.02v|-0.46v|-0.02v|0.06v
|0.3|-195.01v|-37.35v|-12.21v|-4.72v|-1.87v|-0.77v|-0.14v|0.04v|0.09v
0.7|0.4|-104.16v|-21.18v|-7.2v|-3.23v|-1.37v|-0.39v|-0.10v|0.08v|0.12v
|0.5|-67.21v|-13.02v|-4.52v|-1.78v|-0.73v|-0.26v|-0.03v|0.12v|0.15v
|0.6|-49.01v|-9.63v|-3.13v|-1.28v|-0.51v|-0.14v|-0.02v|0.16v|0.17v
|0.7|-59.33v|-10.05v|-2.53v|-0.54v|-0.21v|-0.09v|-0.01v|0.23v|0.24v
|0.1|-518.26v|-95.93v|-30.34v|-11.09v|-4.3v|-2.51v|-1.58v|-0.63v|-0.31v
|0.2|-373.33v|-69.73v|-21.93v|-8.08v|-3.84v|-1.96v|-1.31v|-0.5v|-0.24v
|0.3|-247.31v|-48.35v|-16.32v|-6.65v|-2.89v|-1.51v|-0.49v|-0.3v|-0.16v
0.8|0.4|-120.88v|-26.76v|-9.24v|-4.8v|-2.3v|-0.71v|-0.39v|-0.2v|-0.08v
|0.5|-72.08v|-14.2v|-4.98v|-2v|-1.02v|-0.53v|-0.26v|-0.1v|0.01v
|0.6|-55.91v|-11.2v|-3.56v|-1.6v|-0.77v|-0.36v|-0.13v|0.01v|0.05v
|0.7|-35.96v|-7.2v|-2.31v|-1.08v|-0.45v|-0.09v|0.03v|0.11v|0.13v
|0.8|-16v|-3.2v|-1.07v|-0.56v|-0.13v|0.18v|0.20v|0.2v|0.21v
|0.1|-629.39v|-114.7v|-35.12v|-13.73v|-6.55v|-3.65v|-2.25v|-1.2v|-0.7v
|0.2|-473.23v|-88.43v|-27.99v|-11.44v|-5.67v|-3.21v|-2.07v|-1.11v|-0.65v
|0.3|-303.64v|-60.65v|-21.13v|-9.65v|-4.91v|-2.87v|-1.51v|-0.95v|-0.58v
|0.4|-216.44v|-44.78v|-16.2v|-8.35v|-4.46v|-2.31v|-1.43v|-0.87v|-0.52v
0.9|0.5|-116.49v|-28.35v|-12.15v|-6.45v|-3.65v|-2.19v|-1.35v|-0.81v|-0.47v
|0.6|-98.16v|-25.31v|-10.76v|-5.82v|-3.48v|-2.16v|-1.35v|-0.81v|-0.49v
|0.7|-78.15v|-21.31v|-9.54v|-5.37v|-3.28v|-1.99v|-1.25v|-0.75v|-0.44v
|0.8|-58.15v|-17.32v|-8.33v|-4.93v|-3.08v|-1.82v|-1.15v|-0.69v|-0.39v
|0.9|-72.9v|-18.23v|-8.1v|-4.56v|-2.92v|-1.92v|-1.29v|-0.66v|-0.39v
|0.1|-677.01v|-124.3v|-37.45v|-16.24v|-8.1v|-4.89v|-3.06v|-1.95v|-1.23v
|0.2|-585.16v|-109.4v|-34.85v|-15.63v|-8v|-4.86v|-3.06v|-1.95v|-1.23v
|0.3|-363.31v|-74.2v|-26.68v|-13.44v|-7.6v|-4.72v|-2.96v|-1.88v|-1.17v
|0.4|-345.54v|-68.75v|-25.56v|-13.13v|-7.4v|-4.58v|-2.92v|-1.84v|-1.16v
1.0|0.5|-175v|-47.5v|-22.22v|-12.81v|-7.4v|-4.58v|-2.92v|-1.84v|-1.16v
|0.6|-155v|-45v|-21v|-11.88v|-7.4v|-4.77v|-3.13v|-2.02v|-1.28v
|0.7|-136.79v|-41.38v|-19.95v|-11.58v|-7.4v|-4.77v|-3.13v|-2.02v|-1.28v
|0.8|-118.58v|-37.76v|-18.91v|-11.29v|-7.4v|-4.77v|-3.13v|-2.02v|-1.28v
|0.9|-100.29v|-34.13v|-17.9v|-10.99v|-7.39v|-4.77v|-3.13v|-2.02v|-1.28v
|1|-82v|-30.5v|-16.89v|-10.69v|-7.39v|-4.77v|-3.13v|-2.02v|-1.28v
|||||Cb2 Values|||||
|||||Qb2/Qc|||||
Ab1/Ac|Ab2/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.1|-3v|-0.5v|-0.11v|0.06v|0.12v|0.14v|0.14v|0.13v|0.11v
0.2|0.1|-2.7v|-0.04v|0.23v|0.15v|0.16v|0.18v|0.20v|0.17v|0.16v
|0.2|-11.95v|-1.89v|-0.09v|0.41v|0.62v|0.74v|0.80v|0.8v|0.79v
|0.1|-2.12v|0.12v|0.33v|0.22v|0.22v|0.23v|0.26v|0.22v|0.22v
0.3|0.2|-2v|-0.3v|0.22v|0.42v|0.61v|0.73v|0.78v|0.77v|0.76v
|0.3|-16.88v|-2.92v|-0.09v|0.59v|0.85v|1.02v|1.12v|1.12v|1.22v
|0.1|-2.38v|-0.17v|0.13v|0.23v|0.25v|0.24v|0.23v|0.24v|0.24v
0.4|0.2|-6.95v|-1v|0.16v|0.53v|0.67v|0.71v|0.72v|0.72v|0.71v
|0.3|-16.21v|-2.9v|-0.44v|0.4v|0.79v|0.98v|1.05v|1.06v|1.05v
|0.4|-40v|-6.22v|-2.15v|-0.57v|0.19v|0.56v|0.72v|0.79v|0.85v
|0.1|-1.58v|0.11v|0.33v|0.31v|0.32v|0.33v|0.34v|0.32v|0.32v
|0.2|-4.82v|-0.01v|0.56v|0.71v|0.82v|0.89v|0.92v|0.9v|0.89v
0.5|0.3|-12.27v|-1.17v|0.44v|0.88v|1.11v|1.25v|1.29v|1.25v|1.23v
|0.4|-22.4v|-2.93v|-0.21v|0.48v|0.73v|0.84v|0.88v|0.87v|0.82v
|0.5|-30.58v|-5.23v|-1.06v|0.00v|0.32v|0.43v|0.47v|0.46v|0.41v
|0.1|-0.78v|0.11v|0.32v|0.40v|0.42v|0.43v|0.43v|0.42v|0.42v
|0.2|-3.68v|0.07v|0.77v|0.98v|1.06v|1.08v|1.08v|1.06v|1.04v
0.6|0.3|-9.06v|-0.55v|0.86v|1.27v|1.42v|1.48v|1.49v|1.46v|1.42v
|0.4|-17.62v|-2.12v|0.06v|0.60v|0.83v|0.95v|0.98v|0.95v|0.91v
|0.5|-28.00v|-4.26v|-0.99v|-0.16v|0.2v|0.39v|0.45v|0.41v|0.38v
|0.6|-40.57v|-7.86v|-2.60v|-0.99v|-0.32v|0.00v|0.14v|0.23v|0.22v
|0.1|-0.12v|0.17v|0.22v|0.34v|0.39v|0.40v|0.40v|0.39v|0.39v
|0.2|-1.24v|0.33v|0.55v|0.86v|0.98v|1.02v|1.04v|1.03v|1.02v
|0.3|-4.03v|0.06v|0.73v|1.20v|1.39v|1.47v|1.49v|1.47v|1.44v
0.7|0.4|-9.77v|-0.84v|0.30v|0.36v|0.71v|0.89v|0.97v|0.98v|0.97v
|0.5|-15.88v|-2.51v|-0.34v|-0.06v|0.21v|0.51v|0.65v|0.68v|0.70v
|0.6|-23.89v|-4.60v|-1.54v|-0.55v|-0.51v|-0.04v|0.21v|0.37v|0.44v
|0.7|-59.33v|-10.05v|-2.53v|-0.54v|-0.21v|-0.09v|-0.01v|0.23v|0.24v
|0.1|0.53v|0.24v|1.12v|0.29v|0.36v|0.37v|0.37v|0.36v|0.35v
|0.2|1.20v|0.60v|0.33v|0.73v|0.90v|0.97v|1.00v|1.00v|0.99v
|0.3|0.99v|0.68v|0.60v|1.13v|1.36v|1.45v|1.49v|1.48v|1.46v
0.8|0.4|-1.92v|0.44v|0.53v|0.11v|0.59v|0.83v|0.96v|1.01v|1.03v
|0.5|-3.75v|-0.75v|0.31v|0.05v|0.22v|0.62v|0.84v|0.96v|1.03v
|0.6|-7.20v|-1.35v|-0.48v|-0.11v|-0.7v|-0.09v|0.28v|0.51v|0.65v
|0.7|-11.03v|-2.14v|-0.74v|-0.29v|-2.11v|0.01v|0.26v|0.42v|0.52v
|0.8|-16.00v|-3.20v|-1.07v|-0.56v|-0.13v|0.18v|0.20v|0.20v|0.21v
|0.1|-0.13v|0.32v|0.23v|0.32v|0.36v|0.36v|0.36v|0.35v|0.34v
|0.2|-0.98v|0.80v|0.61v|0.85v|0.97v|1.03v|1.04v|1.03v|1.01v
|0.3|-3.06v|0.35v|0.55v|1.06v|1.32v|1.44v|1.49v|1.49v|1.48v
|0.4|-7.36v|-2.06v|-1.01v|-0.12v|0.47v|0.78v|0.95v|1.04v|1.09v
0.9|0.5|-11.88v|-4.00v|-1.88v|-0.98v|-0.3v|0.24v|0.56v|0.75v|0.87v
|0.6|-18.18v|-5.99v|-3.20v|-1.67v|-1.08v|-0.30v|0.18v|0.49v|0.70v
|0.7|-25.36v|-8.36v|-4.42v|-2.45v|-2.82v|-0.55v|-0.01v|0.34v|0.56v
|0.8|-33.92v|-11.20v|-5.87v|-3.43v|-1.94v|-0.90v|-0.35v|0.00v|0.24v
|0.9|-72.90v|-18.23v|-8.10v|-4.56v|-2.92v|-1.92v|-1.29v|-0.66v|-0.39v
|0.1|-0.78v|0.40v|0.33v|0.35v|0.36v|0.36v|0.35v|0.34v|0.33v
|0.2|-3.16v|1.00v|0.89v|0.96v|1.05v|1.08v|1.08v|1.06v|1.04v
|0.3|-7.11v|0.02v|0.50v|0.99v|1.29v|1.43v|1.49v|1.50v|1.50v
|0.4|-12.80v|-4.56v|-2.56v|-0.36v|0.35v|0.72v|0.93v|1.07v|1.15v
1.0|0.5|-20.00v|-7.25v|-4.06v|-2.02v|-0.81v|-0.14v|0.27v|0.54v|0.72v
|0.6|-29.16v|-10.62v|-5.92v|-3.24v|-1.47v|-0.50v|0.09v|0.48v|0.74v
|0.7|-39.69v|-14.58v|-8.11v|-4.61v|-3.53v|-1.10v|-0.28v|0.25v|0.60v
|0.8|-51.84v|-19.20v|-10.67v|-6.30v|-3.75v|-1.97v|-0.89v|-0.20v|0.27v
|0.9|-66.02v|-24.50v|-13.59v|-8.31v|-5.93v|-3.18v|-1.83v|-0.95v|-0.35v
|1|-82v|-30.5v|-16.89v|-10.69v|-7.39v|-4.77v|-3.13v|-2.02v|-1.28v