|||||Co  Values->colspan||||||
|||||L/Do->colspan||||||
A1/A0|0.50|1.00|2.00|3.00|4.00|5.00|6.00|8.00|10.00|12.00|14.00
1.00|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
1.50|0.03v|0.02v|0.03v|0.03v|0.04v|0.05v|0.06v|0.08v|0.10v|0.11v|0.13v
2.00|0.08v|0.06v|0.04v|0.04v|0.04v|0.05v|0.05v|0.06v|0.08v|0.09v|0.10v
2.50|0.13v|0.09v|0.06v|0.06v|0.06v|0.06v|0.06v|0.06v|0.07v|0.08v|0.09v
3.00|0.17v|0.12v|0.09v|0.07v|0.07v|0.06v|0.06v|0.07v|0.07v|0.08v|0.08v
4.00|0.23v|0.17v|0.12v|0.10v|0.09v|0.08v|0.08v|0.08v|0.08v|0.08v|0.08v
6.00|0.30v|0.22v|0.16v|0.13v|0.12v|0.10v|0.10v|0.09v|0.09v|0.09v|0.08v
8.00|0.34v|0.26v|0.18v|0.15v|0.13v|0.12v|0.11v|0.10v|0.09v|0.09v|0.09v
10.00|0.36v|0.28v|0.20v|0.16v|0.14v|0.13v|0.12v|0.11v|0.10v|0.09v|0.09v
14.00|0.39v|0.30v|0.22v|0.18v|0.16v|0.14v|0.13v|0.12v|0.10v|0.10v|0.10v
20.00|0.41v|0.32v|0.24v|0.20v|0.17v|0.15v|0.14v|0.12v|0.11v|0.11v|0.10v
1000.00|0.41v|0.32v|0.24v|0.20v|0.17v|0.15v|0.14v|0.12v|0.11v|0.11v|0.10v
|||||Optimum Angle Î¸, degrees->colspan||||||
A1/A0|0.50|1.00|2.00|3.00|4.00|5.00|6.00|8.00|10.00|12.00|14.00
1.0|0.0v|0.0v|0.0v|0.0v|0.0v|0.0v|0.0v|0.0v|0.0v|0.0v|0.0v
1.5|17.0v|10.0v|6.5v|4.5v|3.5v|2.8v|2.2v|1.7v|1.2v|1.0v|0.8v
2.0|21.0v|14.0v|8.5v|6.2v|5.0v|4.3v|3.8v|3.0v|2.3v|2.0v|1.6v
2.5|25.0v|16.0v|10.0v|7.4v|6.0v|5.4v|4.8v|4.0v|3.5v|3.0v|2.5v
3.0|27.0v|17.0v|11.0v|8.5v|7.0v|6.1v|5.6v|4.8v|4.2v|3.8v|3.2v
4.0|29.0v|20.0v|13.0v|9.8v|8.0v|7.2v|6.6v|5.8v|5.2v|4.8v|4.4v
6.0|31.0v|21.0v|14.0v|11.0v|9.4v|8.2v|7.4v|6.2v|5.6v|5.2v|4.7v
8.0|32.0v|22.0v|15.0v|12.0v|10.0v|8.8v|8.0v|6.6v|5.8v|5.4v|5.0v
10.0|33.0v|23.0v|15.0v|12.0v|11.0v|9.4v|8.4v|7.0v|6.2v|5.5v|5.2v
14.0|33.0v|24.0v|16.0v|13.0v|11.0v|9.6v|8.7v|7.3v|6.3v|5.6v|5.4v
20.0|34.0v|24.0v|16.0v|13.0v|11.0v|9.8v|9.0v|7.5v|6.5v|6.0v|5.6v
1000.0|34.0v|24.0v|16.0v|13.0v|11.0v|9.8v|9.0v|7.5v|6.5v|6.0v|5.6v