|||||CO Values->colspan||||||
|||||Î¸->colspan||||||
A1/A0|Re/1000|4|8|10|14|20|30|45|60|90|120
1|50|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v
1|100|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v
1|200|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v
1|400|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v
1|2000|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v|1.00v
2|50|0.55v|0.65v|0.68v|0.74v|0.82v|0.92v|1.05v|1.1v|1.08v|1.08v
2|100|0.51v|0.61v|0.66v|0.73v|0.81v|0.9v|1.04v|1.09v|1.08v|1.08v
2|200|0.47v|0.57v|0.61v|0.7v|0.79v|0.89v|1.04v|1.09v|1.08v|1.08v
2|400|0.42v|0.5v|0.56v|0.64v|0.76v|0.88v|1.02v|1.07v|1.08v|1.08v
2|2000|0.42v|0.5v|0.56v|0.64v|0.76v|0.88v|1.02v|1.07v|1.08v|1.08v
4|50|0.38v|0.53v|0.6v|0.69v|0.78v|0.9v|1.02v|1.07v|1.09v|1.09v
4|100|0.33v|0.49v|0.55v|0.66v|0.78v|0.9v|1.02v|1.07v|1.09v|1.09v
4|200|0.27v|0.42v|0.5v|0.62v|0.74v|0.87v|1.00v|1.06v|1.08v|1.08v
4|400|0.22v|0.36v|0.44v|0.56v|0.7v|0.84v|0.99v|1.06v|1.08v|1.08v
4|2000|0.22v|0.36v|0.44v|0.56v|0.7v|0.84v|0.99v|1.06v|1.08v|1.08v
6|50|0.34v|0.5v|0.57v|0.66v|0.77v|0.91v|1.02v|1.07v|1.08v|1.08v
6|100|0.3v|0.47v|0.54v|0.63v|0.76v|0.98v|1.02v|1.07v|1.08v|1.08v
6|200|0.24v|0.42v|0.48v|0.6v|0.73v|0.88v|1.00v|1.06v|1.08v|1.08v
6|400|0.18v|0.34v|0.44v|0.56v|0.73v|0.86v|0.98v|1.06v|1.08v|1.08v
6|2000|0.18v|0.34v|0.44v|0.56v|0.73v|0.86v|0.98v|1.06v|1.08v|1.08v
10|50|0.3v|0.45v|0.53v|0.64v|0.74v|0.85v|0.97v|1.10v|1.12v|1.12v
10|100|0.25v|0.4v|0.48v|0.62v|0.73v|0.85v|0.97v|1.10v|1.12v|1.12v
10|200|0.2v|0.34v|0.44v|0.56v|0.69v|0.82v|0.95v|1.10v|1.11v|1.11v
10|400|0.16v|0.28v|0.4v|0.55v|0.67v|0.8v|0.93v|1.09v|1.11v|1.11v
10|2000|0.16v|0.28v|0.4v|0.55v|0.67v|0.8v|0.93v|1.09v|1.11v|1.11v