||||Cb Values->colspan|||||
||||Qb/Qc->colspan|||||
Ab/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.32v|0.33v|0.32v|0.34v|0.32v|0.37v|0.38v|0.39v|0.4v
0.2|0.31v|0.32v|0.41v|0.34v|0.32v|0.32v|0.33v|0.34v|0.35v
0.3|1.86v|1.65v|0.73v|0.47v|0.37v|0.34v|0.32v|0.32v|0.32v
0.4|3.56v|3.1v|1.28v|0.73v|0.51v|0.41v|0.36v|0.34v|0.32v
0.5|5.74v|4.93v|2.07v|1.12v|0.73v|0.54v|0.44v|0.38v|0.35v
0.6|8.48v|7.24v|3.1v|1.65v|1.03v|0.73v|0.56v|0.47v|0.41v
0.7|11.75v|10v|4.32v|3.31v|1.42v|0.98v|0.73v|0.58v|0.49v
0.8|15.57v|13.22v|5.74v|3.1v|1.9v|1.28v|0.94v|0.73v|0.6v
0.9|19.92v|16.9v|7.38v|4.02v|2.46v|1.65v|1.19v|0.91v|0.73v
||||Cs Values->colspan|||||
||||Qs/Qc->colspan|||||
As/Ac|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
0.1|0.04v|0.01v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
0.2|0.98v|0.04v|0.01v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
0.3|3.48v|0.31v|0.04v|0.01v|0.00v|0.00v|0.00v|0.00v|0.00v
0.4|7.55v|0.98v|0.18v|0.04v|0.02v|0.00v|0.00v|0.00v|0.00v
0.5|13.18v|2.03v|0.49v|0.13v|0.04v|0.00v|0.01v|0.00v|0.00v
0.6|20.38v|3.48v|0.98v|0.31v|0.10v|0.04v|0.02v|0.01v|0.00v
0.7|29.15v|5.32v|1.64v|0.60v|0.23v|0.09v|0.04v|0.02v|0.01v
0.8|39.48v|7.55v|2.47v|0.98v|0.42v|0.18v|0.08v|0.04v|0.02v
0.9|51.37v|10.17v|3.48v|1.46v|0.67v|0.31v|0.15v|0.07v|0.04v