||||||Co Values->colspan|||||||
||||||Î¸->colspan|||||||
A0/A1|0|3|5|10|15|20|30|45|60|90|120|150|180
0.10|0.00v|0.12v|0.09v|0.05v|0.05v|0.05v|0.05v|0.06v|0.08v|0.19v|0.29v|0.37v|0.43v
0.17|0.00v|0.11v|0.08v|0.05v|0.04v|0.04v|0.04v|0.06v|0.07v|0.18v|0.28v|0.36v|0.42v
0.25|0.00v|0.10v|0.07v|0.05v|0.04v|0.04v|0.04v|0.06v|0.07v|0.17v|0.27v|0.35v|0.41v
0.39|0.00v|0.10v|0.07v|0.05v|0.05v|0.05v|0.05v|0.06v|0.06v|0.16v|0.25v|0.32v|0.36v
0.50|0.00v|0.07v|0.06v|0.05v|0.05v|0.05v|0.05v|0.06v|0.07v|0.13v|0.18v|0.23v|0.24v
0.64|0.00v|0.07v|0.07v|0.05v|0.04v|0.04v|0.04v|0.05v|0.06v|0.09v|0.13v|0.17v|0.19v
1.00|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v|0.00v
2.00|0.00v|0.59v|0.51v|0.43v|0.52v|0.76v|1.26v|1.32v|1.30v|1.26v|1.23v|1.21v|1.19v
4.00|0.00v|3.15v|2.78v|2.51v|3.38v|4.77v|7.38v|9.70v|10.88v|10.29v|10.08v|9.96v|9.84v
6.00|0.00v|6.55v|6.08v|6.44v|9.14v|11.92v|17.35v|23.58v|27.58v|26.71v|26.32v|26.15v|25.99v
10.00|0.00v|19.50v|18.25v|20.00v|27.30v|38.00v|58.50v|76.00v|80.00v|83.40v|84.00v|83.35v|82.70v
16.00|0.00v|45.82v|44.80v|50.18v|73.73v|96.77v|153.60v|215.04v|225.28v|225.28v|225.28v|225.28v|225.28v